Código de instalación;Código de compañía;Cod Alternat;Códigos Calculados;Artic Padre;Cod Pre-pack;Ratio de preempacado;Unidades de empacado;Cod EAN Prod;Parte b;Parte c;Parte d;Parte e;Parte f;Total de LPN de salida;Total Act;Activa asignada;Activa disponible;Total de LPN de entrada;LPN de entrada asignada;LPN de entrada disponible;LPN de entrada sin verificar;Total asignado;Total disponible;Total de inventario;Resumen de inventario interno;Unidades secundarias de resumen de inventario interno;Cantidad de orden abierta
B100;FARMACORP;="7772115221511";="7772115221511";False;;0;0;="7772115221511";;;;;;0;0;0;0;227;0;227;0;0;227;227;227;227;0
B100;FARMACORP;="7772115221528";="7772115221528";False;;0;0;="7772115221528";;;;;;0;0;0;0;58;0;58;0;0;58;58;58;58;0
B100;FARMACORP;="7772115221535";="7772115221535";False;;0;0;="7772115221535";;;;;;0;0;0;0;298;0;298;0;0;298;298;298;298;0
B100;FARMACORP;="7772115350389";="7772115350389";False;;0;0;="7772115350389";;;;;;0;0;0;0;23;2;21;0;2;21;23;23;23;0
B100;FARMACORP;="7772115420044";="7772115420044";False;;0;0;="7772115420044";;;;;;144;0;0;0;2590;0;2567;0;0;2567;2590;2734;2734;0
B100;FARMACORP;="7772115420587";="7772115420587";False;;0;0;="7772115420587";;;;;;0;0;0;0;4;0;4;0;0;4;4;4;4;0
B100;FARMACORP;="7772115420594";="7772115420594";False;;0;0;="7772115420594";;;;;;0;0;0;0;162;18;144;0;18;144;162;162;162;0
B100;FARMACORP;="7772115420600";="7772115420600";False;;0;0;="7772115420600";;;;;;36;0;0;0;107;0;102;0;0;102;107;143;143;0
B100;FARMACORP;="7772115420617";="7772115420617";False;;0;0;="7772115420617";;;;;;0;0;0;0;196;12;184;0;12;184;196;196;196;0
B100;FARMACORP;="7772115420655";="7772115420655";False;;0;0;="7772115420655";;;;;;0;0;0;0;4;0;4;0;0;4;4;4;4;0
B100;FARMACORP;="7772115420747";="7772115420747";False;;0;0;="7772115420747";;;;;;0;0;0;0;6;0;6;0;0;6;6;6;6;0
B100;FARMACORP;="7772115421522";="7772115421522";False;;0;0;="7772115421522";;;;;;0;0;0;0;24;0;24;0;0;24;24;24;24;0
B100;FARMACORP;="7772115421546";="7772115421546";False;;0;0;="7772115421546";;;;;;0;0;0;0;42;12;30;0;12;30;42;42;42;0
B100;FARMACORP;="7772115421560";="7772115421560";False;;0;0;="7772115421560";;;;;;0;0;0;0;1;0;1;0;0;1;1;1;1;0
B100;FARMACORP;="7772115423755";="7772115423755";False;;0;0;="7772115423755";;;;;;0;0;0;0;96;12;84;0;12;84;96;96;96;0
B100;FARMACORP;="7772115424141";="7772115424141";False;;0;0;="7772115424141";;;;;;36;0;0;0;385;0;385;0;0;385;385;421;421;0
B100;FARMACORP;="7772115424196";="7772115424196";False;;0;0;="7772115424196";;;;;;0;0;0;0;48;0;48;0;0;48;48;48;48;0
B100;FARMACORP;="7772115550062";="7772115550062";False;;0;0;="7772115550062";;;;;;0;0;0;0;1;0;1;0;0;1;1;1;1;0
B100;FARMACORP;="7772115550079";="7772115550079";False;;0;0;="7772115550079";;;;;;0;0;0;0;1;0;1;0;0;1;1;1;1;0
B100;FARMACORP;="7772115550598";="7772115550598";False;;0;0;="7772115550598";;;;;;0;0;0;0;2;0;2;0;0;2;2;2;2;0
B100;FARMACORP;="7772115550659";="7772115550659";False;;0;0;="7772115550659";;;;;;0;0;0;0;3;0;3;0;0;3;3;3;3;0
